policy,Delivered (Gb),Completion,SLA,Dropped,Wait (s),Beam util,Fairness,Energy (kJ),Gb/kJ,Interrupted,Recovery (s),Handovers,Decision (ms),% of optimal
fcfs/strongest + equal + fixed + coloring,203.8,32%,30%,77%,46,3%,0.13,5,39.93,0,75,0,0.037,92%
edf/strongest + equal + fixed + coloring,203.8,32%,30%,77%,46,3%,0.13,5,39.93,0,75,0,0.034,92%
sjf/strongest + equal + fixed + coloring,203.8,32%,30%,77%,46,3%,0.13,5,39.93,0,75,0,0.029,92%
priority/nearest + equal + fixed + coloring,203.8,32%,30%,77%,46,3%,0.13,5,39.93,0,75,0,0.030,92%
hungarian/throughput + equal + fixed + coloring,203.9,32%,30%,77%,46,2%,0.13,5,40.27,0,75,0,0.106,92%
hungarian/priority + equal + fixed + coloring,203.8,32%,30%,77%,46,3%,0.13,5,39.93,0,75,0,0.107,92%
mip + equal + fixed + coloring,203.9,32%,30%,77%,46,2%,0.13,5,40.27,0,75,0,0.297,92%
fcfs/strongest + equal + fixed + same,202.1,30%,30%,78%,48,3%,0.13,5,38.77,0,75,0,0.034,92%
edf/strongest + equal + fixed + same,202.1,30%,30%,78%,48,3%,0.13,5,38.77,0,75,0,0.038,92%
sjf/strongest + equal + fixed + same,202.1,30%,30%,78%,48,3%,0.13,5,38.77,0,75,0,0.036,92%
priority/nearest + equal + fixed + same,202.1,30%,30%,78%,48,3%,0.13,5,38.77,0,75,0,0.029,92%
hungarian/throughput + equal + fixed + same,201.9,30%,30%,78%,48,3%,0.13,5,38.43,0,75,0,0.087,92%
hungarian/priority + equal + fixed + same,202.1,30%,30%,78%,48,3%,0.13,5,38.77,0,75,0,0.085,92%
mip + equal + fixed + same,201.9,30%,30%,78%,48,3%,0.13,5,38.43,0,75,0,0.246,92%
fcfs/strongest + equal + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.14,0,75,0,0.027,95%
edf/strongest + equal + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.14,0,75,0,0.031,95%
sjf/strongest + equal + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.14,0,75,0,0.029,95%
priority/nearest + equal + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.14,0,75,0,0.028,95%
hungarian/throughput + equal + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.23,0,75,0,0.099,95%
hungarian/priority + equal + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.14,0,75,0,0.107,95%
mip + equal + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.23,0,75,0,0.255,95%
fcfs/strongest + equal + adaptive + same,210.8,32%,30%,77%,46,2%,0.13,9,24.16,0,75,0,0.026,95%
edf/strongest + equal + adaptive + same,210.8,32%,30%,77%,46,2%,0.13,9,24.16,0,75,0,0.030,95%
sjf/strongest + equal + adaptive + same,210.8,32%,30%,77%,46,2%,0.13,9,24.16,0,75,0,0.025,95%
priority/nearest + equal + adaptive + same,210.8,32%,30%,77%,46,2%,0.13,9,24.16,0,75,0,0.026,95%
hungarian/throughput + equal + adaptive + same,210.5,32%,30%,77%,46,2%,0.13,9,23.76,0,75,0,0.101,95%
hungarian/priority + equal + adaptive + same,210.8,32%,30%,77%,46,2%,0.13,9,24.16,0,75,0,0.107,95%
mip + equal + adaptive + same,210.5,32%,30%,77%,46,2%,0.13,9,23.76,0,75,0,0.369,95%
fcfs/strongest + equal + minenergy + coloring,210.0,32%,30%,77%,46,2%,0.13,7,29.10,0,75,0,0.041,95%
edf/strongest + equal + minenergy + coloring,210.0,32%,30%,77%,46,2%,0.13,7,29.10,0,75,0,0.032,95%
sjf/strongest + equal + minenergy + coloring,210.0,32%,30%,77%,46,2%,0.13,7,29.10,0,75,0,0.031,95%
priority/nearest + equal + minenergy + coloring,210.0,32%,30%,77%,46,2%,0.13,7,29.10,0,75,0,0.032,95%
hungarian/throughput + equal + minenergy + coloring,210.1,32%,30%,77%,46,2%,0.13,7,29.21,0,75,0,0.100,95%
hungarian/priority + equal + minenergy + coloring,210.0,32%,30%,77%,46,2%,0.13,7,29.10,0,75,0,0.099,95%
mip + equal + minenergy + coloring,210.1,32%,30%,77%,46,2%,0.13,7,29.21,0,75,0,0.272,95%
fcfs/strongest + equal + minenergy + same,209.8,32%,30%,77%,46,2%,0.13,7,27.82,0,75,0,0.025,95%
edf/strongest + equal + minenergy + same,209.8,32%,30%,77%,46,2%,0.13,7,27.82,0,75,0,0.025,95%
sjf/strongest + equal + minenergy + same,209.8,32%,30%,77%,46,2%,0.13,7,27.82,0,75,0,0.026,95%
priority/nearest + equal + minenergy + same,209.8,32%,30%,77%,46,2%,0.13,7,27.82,0,75,0,0.033,95%
hungarian/throughput + equal + minenergy + same,209.5,32%,30%,77%,46,2%,0.13,8,27.52,0,75,0,0.113,95%
hungarian/priority + equal + minenergy + same,209.8,32%,30%,77%,46,2%,0.13,7,27.82,0,75,0,0.120,95%
mip + equal + minenergy + same,209.5,32%,30%,77%,46,2%,0.13,8,27.52,0,75,0,0.283,95%
