policy,Delivered (Gb),Completion,SLA,Dropped,Wait (s),Beam util,Fairness,Energy (kJ),Gb/kJ,Interrupted,Recovery (s),Handovers,Decision (ms),% of optimal
fcfs/strongest + equal + fixed + coloring,1124.3,95%,34%,4%,278,2%,0.45,27,42.20,0,0,0,0.027,99%
sjf/strongest + equal + fixed + coloring,1124.3,95%,34%,4%,278,2%,0.45,27,42.20,0,0,0,0.026,99%
hungarian/throughput + equal + fixed + coloring,1124.3,95%,34%,4%,279,2%,0.45,27,42.08,0,0,0,0.088,99%
hungarian/priority + equal + fixed + coloring,1124.3,95%,34%,4%,278,2%,0.45,27,42.20,0,0,0,0.099,99%
mip + equal + fixed + coloring,1124.3,95%,34%,4%,279,2%,0.45,27,42.08,0,0,0,0.231,99%
fcfs/strongest + equal + fixed + same,1027.2,92%,32%,13%,376,3%,0.43,30,33.21,0,0,0,0.028,89%
sjf/strongest + equal + fixed + same,1027.2,92%,32%,13%,376,3%,0.43,30,33.29,0,0,0,0.027,89%
hungarian/throughput + equal + fixed + same,1027.2,92%,32%,13%,376,3%,0.43,31,33.14,0,0,0,0.097,89%
hungarian/priority + equal + fixed + same,1027.2,92%,32%,13%,376,3%,0.43,30,33.29,0,0,0,0.089,89%
mip + equal + fixed + same,1027.2,92%,32%,13%,376,3%,0.43,31,33.14,0,0,0,0.222,89%
fcfs/strongest + equal + adaptive + coloring,1138.8,96%,34%,3%,266,2%,0.45,39,29.57,0,0,0,0.027,100%
sjf/strongest + equal + adaptive + coloring,1138.8,96%,34%,3%,265,2%,0.45,39,29.57,0,0,0,0.027,100%
hungarian/throughput + equal + adaptive + coloring,1138.8,96%,34%,3%,266,2%,0.45,39,29.52,0,0,0,0.124,100%
hungarian/priority + equal + adaptive + coloring,1138.8,96%,34%,3%,265,2%,0.45,39,29.57,0,0,0,0.125,100%
mip + equal + adaptive + coloring,1138.8,96%,34%,3%,266,2%,0.45,39,29.52,0,0,0,0.241,100%
fcfs/strongest + equal + adaptive + same,1037.0,94%,34%,13%,298,2%,0.43,45,22.79,0,0,0,0.029,90%
sjf/strongest + equal + adaptive + same,1037.0,94%,34%,13%,297,2%,0.43,45,22.84,0,0,0,0.028,90%
hungarian/throughput + equal + adaptive + same,1037.0,94%,34%,13%,298,2%,0.43,45,22.76,0,0,0,0.091,90%
hungarian/priority + equal + adaptive + same,1037.0,94%,34%,13%,297,2%,0.43,45,22.84,0,0,0,0.098,90%
mip + equal + adaptive + same,1037.0,94%,34%,13%,298,2%,0.43,45,22.76,0,0,0,0.212,90%
fcfs/strongest + equal + minenergy + coloring,1135.8,96%,34%,3%,266,2%,0.45,33,34.44,0,0,0,0.029,100%
sjf/strongest + equal + minenergy + coloring,1135.8,96%,34%,3%,265,2%,0.45,33,34.44,0,0,0,0.026,100%
hungarian/throughput + equal + minenergy + coloring,1135.8,96%,34%,3%,266,2%,0.45,33,34.37,0,0,0,0.089,100%
hungarian/priority + equal + minenergy + coloring,1135.8,96%,34%,3%,265,2%,0.45,33,34.44,0,0,0,0.088,100%
mip + equal + minenergy + coloring,1135.8,96%,34%,3%,266,2%,0.45,33,34.37,0,0,0,0.210,100%
fcfs/strongest + equal + minenergy + same,1035.1,94%,34%,13%,298,2%,0.43,38,27.02,0,0,0,0.026,90%
sjf/strongest + equal + minenergy + same,1035.1,94%,34%,13%,297,2%,0.43,38,27.08,0,0,0,0.029,90%
hungarian/throughput + equal + minenergy + same,1035.1,94%,34%,13%,298,2%,0.43,38,27.00,0,0,0,0.109,90%
hungarian/priority + equal + minenergy + same,1035.1,94%,34%,13%,297,2%,0.43,38,27.08,0,0,0,0.095,90%
mip + equal + minenergy + same,1035.1,94%,34%,13%,298,2%,0.43,38,27.00,0,0,0,0.243,90%
fcfs/strongest + priority + fixed + coloring,1124.3,95%,34%,4%,278,2%,0.45,27,42.20,0,0,0,0.031,99%
sjf/strongest + priority + fixed + coloring,1124.3,95%,34%,4%,278,2%,0.45,27,42.20,0,0,0,0.031,99%
hungarian/throughput + priority + fixed + coloring,1124.3,95%,34%,4%,279,2%,0.45,27,42.08,0,0,0,0.107,99%
hungarian/priority + priority + fixed + coloring,1124.3,95%,34%,4%,278,2%,0.45,27,42.20,0,0,0,0.109,99%
mip + priority + fixed + coloring,1124.3,95%,34%,4%,279,2%,0.45,27,42.08,0,0,0,0.236,99%
fcfs/strongest + priority + fixed + same,1027.2,92%,32%,13%,376,3%,0.43,30,33.21,0,0,0,0.028,89%
sjf/strongest + priority + fixed + same,1027.2,92%,32%,13%,376,3%,0.43,30,33.29,0,0,0,0.028,89%
hungarian/throughput + priority + fixed + same,1027.2,92%,32%,13%,376,3%,0.43,31,33.14,0,0,0,0.107,89%
hungarian/priority + priority + fixed + same,1027.2,92%,32%,13%,376,3%,0.43,30,33.29,0,0,0,0.097,89%
mip + priority + fixed + same,1027.2,92%,32%,13%,376,3%,0.43,31,33.14,0,0,0,0.239,89%
fcfs/strongest + priority + adaptive + coloring,1138.8,96%,34%,3%,266,2%,0.45,39,29.57,0,0,0,0.025,100%
sjf/strongest + priority + adaptive + coloring,1138.8,96%,34%,3%,265,2%,0.45,39,29.57,0,0,0,0.024,100%
hungarian/throughput + priority + adaptive + coloring,1138.8,96%,34%,3%,266,2%,0.45,39,29.52,0,0,0,0.090,100%
hungarian/priority + priority + adaptive + coloring,1138.8,96%,34%,3%,265,2%,0.45,39,29.57,0,0,0,0.084,100%
mip + priority + adaptive + coloring,1138.8,96%,34%,3%,266,2%,0.45,39,29.52,0,0,0,0.200,100%
fcfs/strongest + priority + adaptive + same,1037.0,94%,34%,13%,298,2%,0.43,45,22.79,0,0,0,0.032,90%
sjf/strongest + priority + adaptive + same,1037.0,94%,34%,13%,297,2%,0.43,45,22.84,0,0,0,0.035,90%
hungarian/throughput + priority + adaptive + same,1037.0,94%,34%,13%,298,2%,0.43,45,22.76,0,0,0,0.114,90%
hungarian/priority + priority + adaptive + same,1037.0,94%,34%,13%,297,2%,0.43,45,22.84,0,0,0,0.106,90%
mip + priority + adaptive + same,1037.0,94%,34%,13%,298,2%,0.43,45,22.76,0,0,0,0.219,90%
fcfs/strongest + priority + minenergy + coloring,1135.8,96%,34%,3%,266,2%,0.45,33,34.44,0,0,0,0.032,100%
sjf/strongest + priority + minenergy + coloring,1135.8,96%,34%,3%,265,2%,0.45,33,34.44,0,0,0,0.031,100%
hungarian/throughput + priority + minenergy + coloring,1135.8,96%,34%,3%,266,2%,0.45,33,34.37,0,0,0,0.104,100%
hungarian/priority + priority + minenergy + coloring,1135.8,96%,34%,3%,265,2%,0.45,33,34.44,0,0,0,0.106,100%
mip + priority + minenergy + coloring,1135.8,96%,34%,3%,266,2%,0.45,33,34.37,0,0,0,0.223,100%
fcfs/strongest + priority + minenergy + same,1035.1,94%,34%,13%,298,2%,0.43,38,27.02,0,0,0,0.028,90%
sjf/strongest + priority + minenergy + same,1035.1,94%,34%,13%,297,2%,0.43,38,27.08,0,0,0,0.029,90%
hungarian/throughput + priority + minenergy + same,1035.1,94%,34%,13%,298,2%,0.43,38,27.00,0,0,0,0.087,90%
hungarian/priority + priority + minenergy + same,1035.1,94%,34%,13%,297,2%,0.43,38,27.08,0,0,0,0.087,90%
mip + priority + minenergy + same,1035.1,94%,34%,13%,298,2%,0.43,38,27.00,0,0,0,0.202,90%
fcfs/strongest + maxrate + fixed + coloring,1052.7,89%,30%,10%,545,3%,0.45,37,28.56,0,0,0,0.028,92%
sjf/strongest + maxrate + fixed + coloring,1052.7,89%,30%,10%,544,3%,0.45,37,28.57,0,0,0,0.028,92%
hungarian/throughput + maxrate + fixed + coloring,1052.7,89%,30%,10%,545,3%,0.45,37,28.53,0,0,0,0.108,92%
hungarian/priority + maxrate + fixed + coloring,1052.7,89%,30%,10%,544,3%,0.45,37,28.57,0,0,0,0.105,92%
mip + maxrate + fixed + coloring,1052.7,89%,30%,10%,545,3%,0.45,37,28.53,0,0,0,0.244,92%
fcfs/strongest + maxrate + fixed + same,955.4,86%,28%,20%,698,3%,0.44,41,22.85,0,0,0,0.030,82%
sjf/strongest + maxrate + fixed + same,955.4,86%,28%,20%,698,3%,0.44,41,22.87,0,0,0,0.027,82%
hungarian/throughput + maxrate + fixed + same,955.4,86%,28%,20%,698,3%,0.44,41,22.85,0,0,0,0.104,82%
hungarian/priority + maxrate + fixed + same,955.4,86%,28%,20%,698,4%,0.44,41,22.84,0,0,0,0.100,82%
mip + maxrate + fixed + same,955.4,86%,28%,20%,698,4%,0.44,41,22.84,0,0,0,0.236,82%
fcfs/strongest + maxrate + adaptive + coloring,1074.5,90%,31%,8%,461,3%,0.45,46,23.17,0,0,0,0.028,94%
sjf/strongest + maxrate + adaptive + coloring,1074.5,90%,31%,8%,461,3%,0.45,46,23.18,0,0,0,0.028,94%
hungarian/throughput + maxrate + adaptive + coloring,1074.5,90%,31%,8%,461,3%,0.45,46,23.12,0,0,0,0.098,94%
hungarian/priority + maxrate + adaptive + coloring,1074.5,90%,31%,8%,461,3%,0.45,46,23.15,0,0,0,0.096,94%
mip + maxrate + adaptive + coloring,1074.5,90%,31%,8%,461,3%,0.45,46,23.12,0,0,0,0.237,94%
fcfs/strongest + maxrate + adaptive + same,976.0,88%,29%,18%,614,3%,0.43,52,18.53,0,0,0,0.032,84%
sjf/strongest + maxrate + adaptive + same,976.0,88%,29%,18%,614,3%,0.43,52,18.54,0,0,0,0.027,84%
hungarian/throughput + maxrate + adaptive + same,975.7,88%,29%,18%,614,3%,0.43,52,18.50,0,0,0,0.098,84%
hungarian/priority + maxrate + adaptive + same,976.0,88%,29%,18%,614,3%,0.43,52,18.47,0,0,0,0.096,84%
mip + maxrate + adaptive + same,975.7,88%,29%,18%,614,3%,0.43,52,18.50,0,0,0,0.240,84%
fcfs/strongest + maxrate + minenergy + coloring,1068.0,89%,31%,9%,478,3%,0.45,38,27.93,0,0,0,0.027,94%
sjf/strongest + maxrate + minenergy + coloring,1068.0,89%,31%,9%,478,3%,0.45,38,27.93,0,0,0,0.027,94%
hungarian/throughput + maxrate + minenergy + coloring,1068.0,89%,31%,9%,478,3%,0.45,38,27.89,0,0,0,0.103,94%
hungarian/priority + maxrate + minenergy + coloring,1068.0,89%,31%,9%,478,3%,0.45,38,27.90,0,0,0,0.092,94%
mip + maxrate + minenergy + coloring,1068.0,89%,31%,9%,478,3%,0.45,38,27.89,0,0,0,0.240,94%
fcfs/strongest + maxrate + minenergy + same,970.0,86%,29%,18%,631,3%,0.43,43,22.40,0,0,0,0.032,84%
sjf/strongest + maxrate + minenergy + same,970.0,86%,29%,18%,631,3%,0.43,42,22.43,0,0,0,0.029,84%
