congestion_level,congestion_mult,n_satellites,n_stations,n_beams_total,scheduler,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,starvation_pct,wall_time_s
1x,1,20,2,4,fcfs/strongest,0,551.4926761392643,0.85,0.8,0.13791274735365447,225.75,0.5270833333333333,0.4287414172147724,0.012869166668375936,13.075,42.17917217126305,0,0.0,0,0.0,0.20341189999999187
1x,1,20,2,4,fcfs/strongest,1,555.4807039733612,0.55,0.4,0.3302421889107997,416.75,0.5802083333333333,0.4535374347028257,0.017024166709234123,14.2,39.118359434743745,0,0.0,0,0.0,0.2549332999997205
1x,1,20,2,4,fcfs/strongest,2,545.2045394397447,0.8,0.65,0.23992721603630812,248.5,0.5322916666666667,0.5351378039987204,0.013214166676789318,13.175,41.381748724079294,0,0.0,0,0.0,0.21251669999946898
1x,1,20,2,4,edf/strongest,0,561.703974436033,0.8,0.8,0.12195055877802431,258.0,0.5583333333333333,0.4109536910174805,0.01303625000446118,13.8,40.703186553335726,0,0.0,0,0.05,0.21084530000007362
1x,1,20,2,4,edf/strongest,1,543.6799568282573,0.6,0.55,0.3444706625924001,410.75,0.5375,0.4102557896606315,0.01654708332807786,13.2,41.18787551729223,0,0.0,0,0.15,0.2469189000003098
1x,1,20,2,4,edf/strongest,2,545.798463743095,0.7,0.65,0.2390992227492843,274.75,0.5375,0.501053712037996,0.01324875001955661,13.25,41.19233688627132,0,0.0,0,0.1,0.2155114000006506
1x,1,20,2,4,priority/strongest,0,573.8840366213486,0.75,0.75,0.1029108202634394,302.0,0.5645833333333333,0.4116879881146242,0.014376666683801886,13.925,41.21249814156902,0,0.0,0,0.0,0.22132760000022245
1x,1,20,2,4,priority/strongest,1,540.7230378789,0.65,0.55,0.34803589816030356,375.5,0.5364583333333334,0.4289587664680894,0.01619291668551644,13.2,40.96386650597727,0,0.0,0,0.1,0.23949520000041957
1x,1,20,2,4,priority/strongest,2,539.1830779786122,0.65,0.65,0.24832177008935433,272.0,0.5552083333333333,0.5183132492051171,0.01281124996997581,13.65,39.50059179330493,0,0.0,0,0.05,0.21322060000056808
1x,1,20,2,4,hungarian/throughput,0,568.1095926661133,0.9,0.9,0.11193736719744098,219.25,0.5354166666666667,0.4388286257534667,0.5265066666841751,13.3,42.71500696737694,0,0.0,0,0.0,0.32411210000009305
1x,1,20,2,4,hungarian/throughput,1,552.7345340291893,0.75,0.55,0.33355331881599926,310.5,0.525,0.44096875816545406,0.010915000014695883,12.975,42.59996408702808,0,0.0,0,0.05,0.2205073999994056
1x,1,20,2,4,hungarian/throughput,2,540.692109104118,0.85,0.75,0.2462180211186842,208.25,0.5145833333333333,0.5176072301725405,0.010615416643607508,12.775,42.324235546310604,0,0.0,0,0.0,0.19806979999975738
1x,1,20,2,4,mip,0,568.1095926661133,0.9,0.9,0.11193736719744098,219.25,0.5354166666666667,0.4388286257534667,0.04764916668212512,13.3,42.71500696737694,0,0.0,0,0.0,0.21175510000011855
1x,1,20,2,4,mip,1,546.9907006999854,0.75,0.6,0.3404788109353677,305.5,0.51875,0.4355639450195797,0.044364583311562455,12.825,42.650347033137265,0,0.0,0,0.05,0.22760990000006132
1x,1,20,2,4,mip,2,540.692109104118,0.85,0.75,0.2462180211186842,208.25,0.5145833333333333,0.5176072301725405,0.04194708334352981,12.775,42.324235546310604,0,0.0,0,0.0,0.20549249999930908
2x,2,40,2,4,fcfs/strongest,0,561.6205741200995,0.7,0.5,0.45308830730019667,448.875,0.5885416666666666,0.24687750557275845,0.0398745833005402,14.825,37.88334395413825,0,0.0,0,0.0,0.46931969999968715
2x,2,40,2,4,fcfs/strongest,1,571.8249198146817,0.375,0.3,0.5630094730172721,557.0,0.615625,0.26315376582858024,0.04316875004330238,15.15,37.74421912968196,0,0.0,0,0.0,0.5190490000004502
2x,2,40,2,4,fcfs/strongest,2,570.186638522965,0.575,0.475,0.5240307168957359,472.25,0.6041666666666666,0.31217135062476814,0.039539999985057264,15.075,37.82332593850514,0,0.0,0,0.025,0.48429619999933493
2x,2,40,2,4,edf/strongest,0,587.3164089700088,0.575,0.575,0.42806544813034486,490.875,0.5802083333333333,0.22607915110516805,0.04183375003397789,14.5,40.50457992896612,0,0.0,0,0.25,0.48996600000009494
2x,2,40,2,4,edf/strongest,1,566.72206782848,0.375,0.275,0.5669090896679206,555.5,0.615625,0.2867322313816947,0.04291083331509071,15.15,37.40739721640132,0,0.0,0,0.275,0.5221024000002217
2x,2,40,2,4,edf/strongest,2,575.3689839278035,0.525,0.525,0.5197046996577147,474.5,0.5989583333333334,0.34380802291159956,0.03879583333249078,14.9,38.615368048845866,0,0.0,0,0.2,0.48350140000002284
2x,2,40,2,4,priority/strongest,0,577.894329771953,0.525,0.4,0.4372407624268941,509.875,0.5822916666666667,0.21503303684652827,0.041225000029498915,14.5,39.854781363582966,0,0.0,0,0.25,0.4944722999998703
