sweep_type,bandwidth_mhz,bandwidth_allocator,num_beams,n_beams_total,scheduler,n_satellites,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,starvation_pct,wall_time_s
bandwidth,500,equal,4,8,fcfs/strongest,80,0,1147.3817893958421,0.7125,0.55,0.46393940775551185,390.9375,0.5901041666666667,0.2952852658506733,0.09396166669072652,29.75,38.567455105742596,0,0.0,0,0.0,0.916577199999665
bandwidth,500,equal,4,8,fcfs/strongest,80,1,1138.8815527321397,0.5375,0.4375,0.5481051645358782,468.3125,0.6088541666666667,0.2580411552427167,0.10804499994113334,30.3,37.586849925153125,0,0.0,0,0.0,1.0130774999997811
bandwidth,500,equal,4,8,fcfs/strongest,80,2,1130.7772339210944,0.6125,0.5,0.5159058598576162,459.5,0.6010416666666667,0.3183683491077997,0.10984333329512688,30.075,37.59857801898901,0,0.0,0,0.0,0.9904259000013553
bandwidth,500,lp,4,8,fcfs/strongest,80,0,1147.3817893958421,0.7125,0.55,0.46393940775551185,390.9375,0.5901041666666667,0.2952852658506733,0.10172416666591744,29.75,38.567455105742596,0,0.0,0,0.0,1.3053460999999515
bandwidth,500,lp,4,8,fcfs/strongest,80,1,1138.8815527321397,0.5375,0.4375,0.5481051645358782,468.3125,0.6088541666666667,0.2580411552427167,0.11272208332684386,30.3,37.586849925153125,0,0.0,0,0.0,1.2288848999996844
bandwidth,500,lp,4,8,fcfs/strongest,80,2,1130.7772339210944,0.6125,0.5,0.5159058598576162,459.5,0.6010416666666667,0.3183683491077997,0.10796833331217688,30.075,37.59857801898901,0,0.0,0,0.0,1.134837300000072
bandwidth,100,equal,4,8,fcfs/strongest,80,0,664.7865945070473,0.5,0.325,0.6894094896213319,528.5,0.6046875,0.23655178540253038,0.1304112500292831,30.025,22.141102231708487,0,0.0,0,0.0,1.0729642999995121
bandwidth,100,equal,4,8,fcfs/strongest,80,1,679.2488160101982,0.375,0.3,0.7304820407234035,555.1875,0.6171875,0.2507784063696728,0.13429916661304256,30.375,22.362100938607348,0,0.0,0,0.0,1.1262561000003188
bandwidth,100,equal,4,8,fcfs/strongest,80,2,675.7747331236274,0.3625,0.275,0.7106958129789702,593.625,0.6151041666666667,0.26515860556529125,0.13054249997518735,30.25,22.339660599128177,0,0.0,0,0.0,1.0698087999990094
bandwidth,100,lp,4,8,fcfs/strongest,80,0,666.1431205427426,0.5875,0.375,0.6887757161408646,491.875,0.6010416666666667,0.27615352979775665,0.11770166675736012,30.025,22.186282116327817,0,0.0,0,0.0,1.2164197999991302
