target_elev_deg,achieved_elev_deg,weather_state,power_allocator,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,wall_time_s
20.0,19.994636963819495,clear,fixed,0,480.0,1.0,1.0,7.947285970052083e-17,0.0,0.17,1.0,0.004210416652009977,10.4,46.15384615384615,0,0.0,0,0.05625090000103228
20.0,19.994636963819495,clear,fixed,1,480.0,1.0,1.0,6.357828776041667e-17,0.0,0.17,1.0,0.004149166693423467,10.4,46.15384615384615,0,0.0,0,0.054301500000292435
20.0,19.994636963819495,clear,fixed,2,480.0,1.0,1.0,4.76837158203125e-17,0.0,0.17,0.9999999999999999,0.00416749999961515,10.4,46.15384615384615,0,0.0,0,0.05473630000051344
20.0,19.994636963819495,clear,adaptive,0,480.0,1.0,1.0,1.5894571940104167e-17,0.0,0.15,1.0,0.0040445832458620625,18.4,26.086956521739133,0,0.0,0,0.053776400000060676
20.0,19.994636963819495,clear,adaptive,1,480.0,1.0,1.0,4.76837158203125e-17,0.0,0.15,1.0,0.004077083356908892,18.4,26.086956521739133,0,0.0,0,0.053880799998296425
20.0,19.994636963819495,clear,adaptive,2,480.0,1.0,1.0,7.947285970052083e-17,0.0,0.15,1.0,0.004104166684252656,18.4,26.086956521739133,0,0.0,0,0.054301899999700254
20.0,19.994636963819495,light_rain,fixed,0,469.2760635051769,0.0,1.0,0.022341534364214787,345.625,0.2941666666666667,0.9998913643061585,0.006600833368490082,17.65,26.587878952134673,0,0.0,0,0.08384439999827009
20.0,19.994636963819495,light_rain,fixed,1,469.459461299435,0.0,1.0,0.02195945562617715,346.875,0.295,0.9998766096093235,0.00623041667798437,17.7,26.523133406747743,0,0.0,0,0.0797497999992629
20.0,19.994636963819495,light_rain,fixed,2,468.77636543667006,0.0,1.0,0.02338257200693741,349.375,0.2945833333333333,0.9997678324087428,0.006098749956133057,17.675,26.52200087336181,0,0.0,0,0.07888110000021697
20.0,19.994636963819495,light_rain,adaptive,0,480.00000000000006,1.0,1.0,1.9073486328125e-16,0.0,0.20916666666666667,1.0000000000000004,0.0038995833316827584,25.5,18.823529411764707,0,0.0,0,0.05693310000060592
20.0,19.994636963819495,light_rain,adaptive,1,480.0,1.0,1.0,1.430511474609375e-16,0.0,0.20958333333333334,1.0000000000000002,0.003963749979144874,25.55,18.786692759295498,0,0.0,0,0.05725709999933315
20.0,19.994636963819495,light_rain,adaptive,2,480.0,1.0,1.0,1.5894571940104166e-16,0.0,0.20958333333333334,1.0000000000000002,0.003955416658148654,25.55,18.786692759295498,0,0.0,0,0.057149499998558895
20.0,19.994636963819495,heavy_rain,fixed,0,76.05123435367582,0.0,1.0,0.8415599284298422,479.375,0.11625,0.9979840360717862,0.00745291668711919,6.975,10.903402774720549,0,0.0,0,0.07790830000158167
20.0,19.994636963819495,heavy_rain,fixed,1,75.94538954588027,0.0,1.0,0.8417804384460829,480.625,0.11625,0.9980762504509405,0.007702500124651123,6.975,10.888227891882478,0,0.0,0,0.07860299999993003
20.0,19.994636963819495,heavy_rain,fixed,2,75.74077707475358,0.0,1.0,0.8422067144275966,483.125,0.11625,0.9952262747386725,0.007472500063461969,6.975,10.858892770573991,0,0.0,0,0.07730170000104408
20.0,19.994636963819495,heavy_rain,adaptive,0,118.5203657427782,0.0,1.0,0.7530825713692121,479.375,0.11625,0.9982261101353483,0.007506249979390608,13.95,8.496083565790553,0,0.0,0,0.07834409999850322
20.0,19.994636963819495,heavy_rain,adaptive,1,118.38080284212548,0.0,1.0,0.7533733274122387,480.625,0.11625,0.998395722369786,0.0076916666330362204,13.95,8.486079056783188,0,0.0,0,0.07989749999978812
20.0,19.994636963819495,heavy_rain,adaptive,2,118.10580738286025,0.0,1.0,0.7539462346190412,483.125,0.11625,0.9958940927867849,0.007589999942562523,13.95,8.466366120635143,0,0.0,0,0.07916159999876982
20.0,19.994636963819495,storm,fixed,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.008067500016295526,0.0,0.0,0,0.0,0,0.07530289999886008
20.0,19.994636963819495,storm,fixed,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.008414583264008495,0.0,0.0,0,0.0,0,0.07776430000012624
20.0,19.994636963819495,storm,fixed,2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.008076249976814626,0.0,0.0,0,0.0,0,0.07598920000054932
20.0,19.994636963819495,storm,adaptive,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.008098750042033013,0.0,0.0,0,0.0,0,0.07485909999923024
20.0,19.994636963819495,storm,adaptive,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.007862499993886255,0.0,0.0,0,0.0,0,0.07464290000098117
20.0,19.994636963819495,storm,adaptive,2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00795916669176222,0.0,0.0,0,0.0,0,0.07459670000025653
20.0,19.994636963819495,extreme,fixed,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.008022083458551302,0.0,0.0,0,0.0,0,0.07502879999992729
20.0,19.994636963819495,extreme,fixed,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00787458329796209,0.0,0.0,0,0.0,0,0.07385749999957625
20.0,19.994636963819495,extreme,fixed,2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00783166663798814,0.0,0.0,0,0.0,0,0.07399289999921166
20.0,19.994636963819495,extreme,adaptive,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.008109999953376246,0.0,0.0,0,0.0,0,0.07422249999945052
20.0,19.994636963819495,extreme,adaptive,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.007917083341150525,0.0,0.0,0,0.0,0,0.0748358000000735
20.0,19.994636963819495,extreme,adaptive,2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00784416658916598,0.0,0.0,0,0.0,0,0.07367100000010396
30.0,29.95971279656218,clear,fixed,0,480.0,1.0,1.0,1.430511474609375e-16,0.0,0.16291666666666665,1.0000000000000002,0.003810000021076121,9.975,48.120300751879704,0,0.0,0,0.050546500000564265
30.0,29.95971279656218,clear,fixed,1,480.0,1.0,1.0,1.1126200358072918e-16,0.0,0.16166666666666665,1.0,0.0038029166413859157,9.9,48.484848484848484,0,0.0,0,0.05025519999981043
30.0,29.95971279656218,clear,fixed,2,480.00000000000006,1.0,1.0,7.947285970052083e-17,0.0,0.16208333333333333,1.0000000000000002,0.0037070832528722044,9.925,48.36272040302267,0,0.0,0,0.05003299999953015
30.0,29.95971279656218,clear,adaptive,0,480.0,1.0,1.0,4.76837158203125e-17,0.0,0.14916666666666667,0.9999999999999999,0.0037320833068103334,14.68136363636373,32.69451066596468,0,0.0,0,0.05173589999867545
30.0,29.95971279656218,clear,adaptive,1,480.0,1.0,1.0,4.76837158203125e-17,0.0,0.14833333333333334,1.0,0.0036970834495756813,14.581363636363731,32.918731880669384,0,0.0,0,0.05124750000140921
