stage,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,wall_time_s
baseline,0,1799.1025988786553,0.0,0.0,0.7734364651830886,1078.5,0.10308333333333333,0.9996921521441665,0.020027333369701715,61.84,29.09286220696402,0,0.0,0,0.5866113000010955
baseline,1,1795.6165024589466,0.0,0.0,0.7903382586889566,1075.0,0.10308333333333333,0.99970606719247,0.020553666612007266,61.84,29.03648936705929,0,0.0,0,0.5999941999998555
baseline,2,1789.0562947461826,0.0,0.0,0.7802525265325942,1076.0,0.103,0.9994823613266897,0.019775666690596456,61.79,28.95381606645384,0,0.0,0,0.582872099999804
baseline,3,1806.9091951055473,0.0,0.0,0.7884014300195817,1084.0,0.103,0.9995387373831651,0.02019233333461064,61.79,29.24274470149777,0,0.0,0,0.5485054000000673
baseline,4,1831.463960747139,0.0,0.0,0.7597475461997467,1073.5,0.10308333333333333,0.9997279020256087,0.01980466671739123,61.84,29.616170128511303,0,0.0,0,0.5522707000000082
baseline,5,1803.8740893338781,0.0,0.0,0.7687423543496757,1077.0,0.10316666666666667,0.9995880746849236,0.01986599997205,61.89,29.146454828467895,0,0.0,0,0.5557833000002574
baseline,6,1801.7147706722308,0.0,0.0,0.7653711697964183,1067.0,0.10325,0.99974848758259,0.019995000014508452,61.94,29.088065396710217,0,0.0,0,0.5529098999995767
baseline,7,1764.4156833771865,0.0,0.0,0.7714900730301462,1069.5,0.10325,0.9997183354994392,0.01917200002935715,61.94,28.485884458785705,0,0.0,0,0.5357722000007925
baseline,8,1802.3037476860382,0.0,0.0,0.7605992465410316,1067.0,0.10291666666666667,0.9996629700802461,0.01968666664348954,61.74,29.191832647975996,0,0.0,0,0.549871199998961
baseline,9,1817.6783397888448,0.0,0.0,0.7554752947334751,1077.5,0.10308333333333333,0.9996157465138705,0.01713733326444829,61.84,29.393246115602274,0,0.0,0,0.49686880000081146
baseline,10,1784.5406233654644,0.0,0.0,0.7612211890814574,1076.0,0.10333333333333333,0.9995185893308427,0.017102333337485714,61.99,28.78755643435174,0,0.0,0,0.5168978000001516
baseline,11,1825.3624802616594,0.0,0.0,0.7752026690026808,1071.5,0.10316666666666667,0.9997169937297143,0.017604000040591927,61.89,29.49365778415995,0,0.0,0,0.5089003000011871
baseline,12,1774.2174681794731,0.0,0.0,0.7767836196494589,1072.5,0.10325,0.9997000127718184,0.01823099998849405,61.94,28.644130903769344,0,0.0,0,0.5131768999999622
