world,regime,demand_gbit,capacity_gbit,policy,delivered_gbit,completion_rate,weighted_met,n_met,n_partial,n_rejected,fairness,wall_s,optimal,n_vars
0,0-trivial,247.15850321983174,2107.7786230272313,fcfs,246.3380660288661,0.8461538461538461,0.8275862068965517,11,2,0,0.9995896271868183,0.0017921999969985336,,
0,0-trivial,247.15850321983174,2107.7786230272313,priority,246.33806602886608,0.8461538461538461,0.8275862068965517,11,2,0,0.9995896271868183,0.001518200006103143,,
0,0-trivial,247.15850321983174,2107.7786230272313,oracle/throughput,246.3380660288661,0.8461538461538461,0.8275862068965517,11,2,0,0.9995896271868184,0.005374299973482266,True,224
0,0-trivial,247.15850321983174,2107.7786230272313,oracle/priority,246.3380660288661,0.8461538461538461,0.8275862068965517,11,2,0,0.9995896271868184,0.002099300007103011,True,237
0,A-slack,331.1739372178831,2107.7786230272313,fcfs,302.6108596195621,0.8571428571428571,0.875,6,1,0,0.9731796840715664,0.0016051999991759658,,
0,A-slack,331.1739372178831,2107.7786230272313,priority,297.9079108776689,0.7142857142857143,0.75,5,2,0,0.9744594628110965,0.0009846999892033637,,
0,A-slack,331.1739372178831,2107.7786230272313,oracle/throughput,308.5401097052543,0.7142857142857143,0.75,5,2,0,0.9898451320635677,0.001770599978044629,True,109
0,A-slack,331.1739372178831,2107.7786230272313,oracle/priority,305.3156682740939,0.8571428571428571,0.875,6,1,0,0.9781865305624164,0.004163000005064532,True,116
0,B-real,471.923576071829,2107.7786230272313,fcfs,410.85919887836155,0.5714285714285714,0.5,4,3,0,0.9690906872129206,0.0008287000237032771,,
0,B-real,471.923576071829,2107.7786230272313,priority,385.0839974240117,0.5714285714285714,0.5,4,3,0,0.8958316983839565,0.0019776000117417425,,
0,B-real,471.923576071829,2107.7786230272313,oracle/throughput,422.7772960927708,0.42857142857142855,0.375,3,4,0,0.9782828160887796,0.0035416999890003353,True,109
0,B-real,471.923576071829,2107.7786230272313,oracle/priority,421.0502167313459,0.7142857142857143,0.625,5,2,0,0.9571856854178052,0.017066999978851527,True,116
0,C-severe,549.8786597024931,2107.7786230272313,fcfs,410.85919887836155,0.5714285714285714,0.5,4,3,0,0.9395472294613726,0.0009570999827701598,,
0,C-severe,549.8786597024931,2107.7786230272313,priority,391.0254354075547,0.42857142857142855,0.375,3,4,0,0.8808959746194039,0.0019372999959159642,,
0,C-severe,549.8786597024931,2107.7786230272313,oracle/throughput,425.7238718478251,0.2857142857142857,0.25,2,5,0,0.9589939914440713,0.003337800008011982,True,109
0,C-severe,549.8786597024931,2107.7786230272313,oracle/priority,411.9550719636033,0.5714285714285714,0.5,4,3,0,0.9242719148515562,0.010727699991548434,True,116
1,0-trivial,104.12256446428276,830.6774496769959,fcfs,104.12256446428276,1.0,1.0,13,0,0,1.0,0.001593299995874986,,
1,0-trivial,104.12256446428276,830.6774496769959,priority,104.12256446428273,1.0,1.0,13,0,0,1.0,0.0017017000063788146,,
1,0-trivial,104.12256446428276,830.6774496769959,oracle/throughput,104.12256446428276,1.0,1.0,13,0,0,1.0,0.003642199997557327,True,173
1,0-trivial,104.12256446428276,830.6774496769959,oracle/priority,104.12256446428276,1.0,1.0,13,0,0,1.0,0.009954400011338294,True,186
1,A-slack,278.66518024348454,830.6774496769959,fcfs,236.667132762076,0.6363636363636364,0.5714285714285714,7,4,0,0.9191221333208289,0.0010585000272840261,,
1,A-slack,278.66518024348454,830.6774496769959,priority,239.33709147271435,0.7272727272727273,0.8095238095238095,8,2,1,0.9072305381894646,0.001220100006321445,,
1,A-slack,278.66518024348454,830.6774496769959,oracle/throughput,239.41513330771318,0.36363636363636365,0.38095238095238093,4,7,0,0.9655704966835968,0.0028477000014390796,True,114
1,A-slack,278.66518024348454,830.6774496769959,oracle/priority,217.5234608103798,0.7272727272727273,0.8571428571428571,8,2,1,0.8605792459715671,0.021145000006072223,True,125
1,B-real,446.71979424298104,830.6774496769959,fcfs,297.1039104618749,0.5454545454545454,0.5238095238095238,6,3,2,0.7420608272552309,0.0009557000012136996,,
1,B-real,446.71979424298104,830.6774496769959,priority,298.07405398282884,0.6363636363636364,0.7619047619047619,7,2,2,0.7395733342595008,0.0014970999909564853,,
1,B-real,446.71979424298104,830.6774496769959,oracle/throughput,298.540110672353,0.36363636363636365,0.38095238095238093,4,5,2,0.7616531590247612,0.0035979000094812363,True,114
1,B-real,446.71979424298104,830.6774496769959,oracle/priority,296.21187085005994,0.6363636363636364,0.7619047619047619,7,3,1,0.7107690565174467,0.028496399987488985,True,125
1,C-severe,516.1490531221133,830.6774496769959,fcfs,341.56436375238263,0.45454545454545453,0.47619047619047616,5,4,2,0.7430850331854207,0.0009468000207562,,
1,C-severe,516.1490531221133,830.6774496769959,priority,341.0073072340318,0.45454545454545453,0.6190476190476191,5,4,2,0.725185595636704,0.0012555999855976552,,
1,C-severe,516.1490531221133,830.6774496769959,oracle/throughput,344.5426842453741,0.2727272727272727,0.3333333333333333,3,6,2,0.7587888519888126,0.004053199983900413,True,114
1,C-severe,516.1490531221133,830.6774496769959,oracle/priority,342.2144444230811,0.5454545454545454,0.7142857142857143,6,4,1,0.7030085455583075,0.02216789999511093,True,125
2,0-trivial,320.5085612606829,2375.99941690267,fcfs,320.5085612606829,1.0,1.0,13,0,0,1.0,0.003189699986251071,,
2,0-trivial,320.5085612606829,2375.99941690267,priority,320.5085612606829,1.0,1.0,13,0,0,1.0,0.0015377000090666115,,
2,0-trivial,320.5085612606829,2375.99941690267,oracle/throughput,320.5085612606829,1.0,1.0,13,0,0,1.0,0.014917099993908778,True,381
2,0-trivial,320.5085612606829,2375.99941690267,oracle/priority,320.5085612606829,1.0,1.0,13,0,0,1.0,0.007918099989183247,True,394
2,A-slack,899.4525155830115,2375.99941690267,fcfs,800.8260026882127,0.6666666666666666,0.5833333333333334,8,4,0,0.9423633372268992,0.001486499997554347,,
2,A-slack,899.4525155830115,2375.99941690267,priority,798.093359610444,0.6666666666666666,0.7083333333333334,8,4,0,0.9735697470371921,0.0020831000001635402,,
2,A-slack,899.4525155830115,2375.99941690267,oracle/throughput,824.5034659658211,0.5,0.4583333333333333,6,6,0,0.9727123530127186,0.011141299997689202,True,307
2,A-slack,899.4525155830115,2375.99941690267,oracle/priority,801.2299068042985,0.8333333333333334,0.7916666666666666,10,2,0,0.9610823279957686,0.22342990001197904,True,319
2,B-real,1646.073371990615,2375.99941690267,fcfs,933.3593021238096,0.08333333333333333,0.08333333333333333,1,10,1,0.8073275868546709,0.0017777000030037016,,
2,B-real,1646.073371990615,2375.99941690267,priority,910.1124218805545,0.08333333333333333,0.08333333333333333,1,11,0,0.912897883578912,0.0025496000016573817,,
2,B-real,1646.073371990615,2375.99941690267,oracle/throughput,954.9554333762638,0.08333333333333333,0.08333333333333333,1,11,0,0.8961199620523255,0.003991899982793257,True,307
2,B-real,1646.073371990615,2375.99941690267,oracle/priority,954.9542568848732,0.08333333333333333,0.08333333333333333,1,11,0,0.9139365627711825,0.10158649997902103,True,319
2,C-severe,1658.9891617634078,2375.99941690267,fcfs,933.3593021238096,0.08333333333333333,0.08333333333333333,1,10,1,0.8056486423472736,0.002069899986963719,,
2,C-severe,1658.9891617634078,2375.99941690267,priority,910.1124218805545,0.08333333333333333,0.08333333333333333,1,11,0,0.9120529608560339,0.001581200020154938,,
2,C-severe,1658.9891617634078,2375.99941690267,oracle/throughput,954.9554333762638,0.08333333333333333,0.08333333333333333,1,11,0,0.8952047624448269,0.0030192999984137714,True,307
2,C-severe,1658.9891617634078,2375.99941690267,oracle/priority,954.9542568848732,0.08333333333333333,0.08333333333333333,1,11,0,0.9132281081490432,0.10730830000829883,True,319
3,0-trivial,326.53301822528283,2338.055104272089,fcfs,319.94435414380894,0.9285714285714286,0.9642857142857143,13,1,0,0.9949598574264986,0.0014640000008512288,,
3,0-trivial,326.53301822528283,2338.055104272089,priority,316.7244126017771,0.9285714285714286,0.9642857142857143,13,1,0,0.9886829255908451,0.0016426999936811626,,
3,0-trivial,326.53301822528283,2338.055104272089,oracle/throughput,320.9078202818918,0.9285714285714286,0.9642857142857143,13,1,0,0.9963421742775579,0.014870199986035004,True,348
3,0-trivial,326.53301822528283,2338.055104272089,oracle/priority,320.9078202818918,0.9285714285714286,0.9642857142857143,13,1,0,0.9963421742775579,0.005311500019161031,True,362
3,A-slack,952.5324679080708,2338.055104272089,fcfs,786.6351962648574,0.5384615384615384,0.5416666666666666,7,6,0,0.937570214311946,0.001733800017973408,,
3,A-slack,952.5324679080708,2338.055104272089,priority,811.0171420784707,0.46153846153846156,0.4583333333333333,6,7,0,0.9276246660486709,0.0014998999831732363,,
3,A-slack,952.5324679080708,2338.055104272089,oracle/throughput,829.0836430731025,0.6153846153846154,0.625,8,5,0,0.9398053385701081,0.00556789999245666,True,320
3,A-slack,952.5324679080708,2338.055104272089,oracle/priority,829.0836430731025,0.6153846153846154,0.625,8,5,0,0.9398053385701081,0.012186500011011958,True,333
3,B-real,1650.5005345875472,2338.055104272089,fcfs,975.7878762357265,0.0,0.0,0,13,0,0.8954304875351938,0.0023166000028140843,,
3,B-real,1650.5005345875472,2338.055104272089,priority,1032.8806796745494,0.0,0.0,0,13,0,0.8841624957720158,0.001934100000653416,,
3,B-real,1650.5005345875472,2338.055104272089,oracle/throughput,1052.7974017504828,0.0,0.0,0,13,0,0.934146206940591,0.004059800005052239,True,320
3,B-real,1650.5005345875472,2338.055104272089,oracle/priority,1052.7974017504828,0.0,0.0,0,13,0,0.933174787834373,0.013468999997712672,True,333
3,C-severe,1712.2378533396945,2338.055104272089,fcfs,975.7878762357265,0.0,0.0,0,13,0,0.8916621016039713,0.003129399992758408,,
3,C-severe,1712.2378533396945,2338.055104272089,priority,1032.8806796745494,0.0,0.0,0,13,0,0.8890110766760352,0.0016374999831896275,,
3,C-severe,1712.2378533396945,2338.055104272089,oracle/throughput,1052.7974017504828,0.0,0.0,0,13,0,0.9298046245697599,0.004161399992881343,True,320
3,C-severe,1712.2378533396945,2338.055104272089,oracle/priority,1052.7974017504828,0.0,0.0,0,13,0,0.9260629528809456,0.012442899984307587,True,333
4,0-trivial,286.8985010373409,1912.6566735822728,fcfs,286.8985010373409,1.0,1.0,14,0,0,1.0,0.0018779999809339643,,
4,0-trivial,286.8985010373409,1912.6566735822728,priority,286.8985010373409,1.0,1.0,14,0,0,1.0,0.0027504999889060855,,
4,0-trivial,286.8985010373409,1912.6566735822728,oracle/throughput,286.8985010373409,1.0,1.0,14,0,0,1.0,0.0010878999892156571,True,272
4,0-trivial,286.8985010373409,1912.6566735822728,oracle/priority,286.8985010373409,1.0,1.0,14,0,0,1.0,0.0013043999788351357,True,286
4,A-slack,511.95604491585584,1912.6566735822728,fcfs,500.6338117320354,0.9,0.8571428571428571,9,1,0,0.991911504720737,0.0019478999893181026,,
4,A-slack,511.95604491585584,1912.6566735822728,priority,500.6338117320354,0.9,0.8571428571428571,9,1,0,0.991911504720737,0.0012094999838154763,,
4,A-slack,511.95604491585584,1912.6566735822728,oracle/throughput,500.6338117320354,0.9,0.8571428571428571,9,1,0,0.991911504720737,0.0009905000042635947,True,207
4,A-slack,511.95604491585584,1912.6566735822728,oracle/priority,500.6338117320354,0.9,0.8571428571428571,9,1,0,0.991911504720737,0.002099000004818663,True,217
4,B-real,989.1074986939342,1912.6566735822728,fcfs,706.0516230844798,0.4,0.38095238095238093,4,6,0,0.956003737993893,0.0014494000060949475,,
4,B-real,989.1074986939342,1912.6566735822728,priority,702.2292797775187,0.4,0.38095238095238093,4,6,0,0.9545185173319543,0.0011698000016622245,,
4,B-real,989.1074986939342,1912.6566735822728,oracle/throughput,732.7668948462405,0.4,0.38095238095238093,4,6,0,0.9651104312096221,0.0033199999888893217,True,207
4,B-real,989.1074986939342,1912.6566735822728,oracle/priority,724.5168948462406,0.4,0.38095238095238093,4,6,0,0.9623224940954768,0.004916299978503957,True,217
4,C-severe,1106.237537925776,1912.6566735822728,fcfs,722.4356315123205,0.3,0.23809523809523808,3,7,0,0.9462807353282395,0.001664999988861382,,
4,C-severe,1106.237537925776,1912.6566735822728,priority,718.6132882053594,0.3,0.23809523809523808,3,7,0,0.9446976176346288,0.0013885000080335885,,
4,C-severe,1106.237537925776,1912.6566735822728,oracle/throughput,748.6466959802484,0.3,0.23809523809523808,3,7,0,0.9544335062295799,0.002587999973911792,True,207
4,C-severe,1106.237537925776,1912.6566735822728,oracle/priority,748.6466959802484,0.3,0.23809523809523808,3,7,0,0.9544335062295799,0.0029861000075470656,True,217
