network,profile,n_sats,scheduler,max_scan_deg,model,beam_broadening,delivered_gbit,vs_60A_pct,completion_rate,sla_compliance,usable_contact_s,mean_sinr_db,mean_inr,modcod_capped_frac,link_outage_frac,beam_utilization,link_samples
india8,congested,80,fcfs/strongest,60,A,False,1733.463231482334,0.0,0.825,0.65,54820.0,16.487272461756447,0.24559772123256893,0.5866666666666667,0.0,0.03171875,675
india8,congested,80,fcfs/strongest,60,B,True,1733.1004038366473,-0.020930795594464868,0.825,0.65,54820.0,16.276984917353715,0.35892329103821646,0.5795620437956205,0.0,0.032239583333333335,685
india8,congested,80,fcfs/strongest,70,A,False,1947.909554767529,12.370976170161718,0.8875,0.7125,104580.0,14.073049080409497,0.41084486860714786,0.2757437070938215,0.0,0.04182291666666667,874
india8,congested,80,fcfs/strongest,70,B,True,1956.3677217034697,12.858910773118826,0.8875,0.7125,104580.0,13.850837774269122,0.5028629477044743,0.27702702702702703,0.0,0.04255208333333333,888
india8,congested,80,fcfs/strongest,75,A,False,2057.4386065965996,18.689486412539868,0.9625,0.7625,147585.0,12.43907762446202,0.260578508549574,0.19550342130987292,0.0,0.04927083333333333,1023
india8,congested,80,fcfs/strongest,75,B,True,2049.8482512507567,18.251614111126703,0.95,0.75,147585.0,11.745765423413769,0.6767811825654627,0.18667917448405252,0.00375234521575985,0.0515625,1066
india8,congested,80,fcfs/strongest,80,A,False,2106.3017432061806,21.508302279075252,0.9875,0.8,210960.0,10.173890126580371,0.16977788641208716,0.14076484947111473,0.0,0.059895833333333336,1229
india8,congested,80,fcfs/strongest,80,B,True,2095.883506023074,20.907295174113607,0.9625,0.7625,210960.0,9.380258728360397,0.5794839021209274,0.13204633204633204,0.018532818532818532,0.0634375,1295
india8,congested,80,fcfs/strongest,85,A,False,2106.3017432061806,21.508302279075252,0.9875,0.8,210960.0,10.173890126580371,0.16977788641208716,0.14076484947111473,0.0,0.059895833333333336,1229
india8,congested,80,fcfs/strongest,85,B,True,2095.883506023074,20.907295174113607,0.9625,0.7625,210960.0,9.380258728360397,0.5794839021209274,0.13204633204633204,0.018532818532818532,0.0634375,1295
india8,congested,80,fcfs/strongest,90,A,False,2106.3017432061806,21.508302279075252,0.9875,0.8,210960.0,10.173890126580371,0.16977788641208716,0.14076484947111473,0.0,0.059895833333333336,1229
india8,congested,80,fcfs/strongest,90,B,True,2095.883506023074,20.907295174113607,0.9625,0.7625,210960.0,9.380258728360397,0.5794839021209274,0.13204633204633204,0.018532818532818532,0.0634375,1295
india8,baseline,40,fcfs/strongest,60,A,False,807.156837473406,0.0,0.825,0.65,27285.0,16.747328022715706,0.058064049323809326,0.5980707395498392,0.0,0.014479166666666666,311
india8,baseline,40,fcfs/strongest,60,B,True,806.794009827719,-0.044951319104558074,0.825,0.65,27285.0,16.630498454453356,0.0988400602557132,0.5897435897435898,0.0,0.01453125,312
india8,baseline,40,fcfs/strongest,70,A,False,956.3026894596028,18.477927096926905,0.875,0.7,52950.0,14.366214173446933,0.1228705148387929,0.27423167848699764,0.0,0.02020833333333333,423
india8,baseline,40,fcfs/strongest,70,B,True,948.4213940818398,17.501500334262875,0.875,0.7,52950.0,14.173542384252215,0.23313078008715574,0.26713947990543735,0.0,0.02020833333333333,423
india8,baseline,40,fcfs/strongest,75,A,False,1019.9990853252805,26.36937927926395,0.975,0.8,73970.0,12.70840365473104,0.11609151990087607,0.1927710843373494,0.0,0.02390625,498
india8,baseline,40,fcfs/strongest,75,B,True,1018.549986937187,26.189848075312373,0.95,0.775,73970.0,12.232365299797419,0.3588810292490183,0.18199608610567514,0.0019569471624266144,0.024635416666666667,511
india8,baseline,40,fcfs/strongest,80,A,False,1026.8944358232434,27.22365569468117,1.0,0.85,105585.0,10.539882032950048,0.11478058463873164,0.15265866209262435,0.0,0.02828125,583
india8,baseline,40,fcfs/strongest,80,B,True,1020.799454106183,26.468538295671195,0.95,0.8,105585.0,9.847874749038798,0.42863598067963965,0.14356435643564355,0.01155115511551155,0.029583333333333333,606
india8,baseline,40,fcfs/strongest,85,A,False,1026.8944358232434,27.22365569468117,1.0,0.85,105585.0,10.539882032950048,0.11478058463873164,0.15265866209262435,0.0,0.02828125,583
india8,baseline,40,fcfs/strongest,85,B,True,1020.799454106183,26.468538295671195,0.95,0.8,105585.0,9.847874749038798,0.42863598067963965,0.14356435643564355,0.01155115511551155,0.029583333333333333,606
india8,baseline,40,fcfs/strongest,90,A,False,1026.8944358232434,27.22365569468117,1.0,0.85,105585.0,10.539882032950048,0.11478058463873164,0.15265866209262435,0.0,0.02828125,583
india8,baseline,40,fcfs/strongest,90,B,True,1020.799454106183,26.468538295671195,0.95,0.8,105585.0,9.847874749038798,0.42863598067963965,0.14356435643564355,0.01155115511551155,0.029583333333333333,606
global6,congested,80,fcfs/strongest,60,A,False,1533.683212715566,0.0,0.7375,0.625,22590.0,15.368964803786092,0.09922279279962178,0.4227129337539432,0.0,0.03993055555555555,634
global6,congested,80,fcfs/strongest,60,B,True,1530.5549667354578,-0.20396949997054659,0.7375,0.625,22590.0,15.183693321976506,0.19326729596785164,0.4122257053291536,0.0,0.04020833333333333,638
global6,congested,80,fcfs/strongest,70,A,False,1791.9012374956603,16.836464182384113,0.825,0.7,42935.0,11.852408876460881,0.07630060697525495,0.20652173913043478,0.0,0.059305555555555556,920
global6,congested,80,fcfs/strongest,70,B,True,1790.8279736579327,16.76648468278281,0.8125,0.7,42935.0,11.445047506407434,0.2776454243316737,0.193446088794926,0.006342494714587738,0.06118055555555556,946
global6,congested,80,fcfs/strongest,75,A,False,1840.092806419674,19.978675593741023,0.8625,0.7375,54175.0,10.845182689875923,0.07015561203252216,0.17681728880157171,0.0,0.06590277777777778,1018
global6,congested,80,fcfs/strongest,75,B,True,1839.8797104049054,19.964781198014325,0.8625,0.7375,54175.0,10.351001876746817,0.34200125214324645,0.16555661274976213,0.010466222645099905,0.06819444444444445,1051
global6,congested,80,fcfs/strongest,80,A,False,1921.03752132502,25.25647443995933,0.8875,0.7625,68935.0,9.193113239627767,0.06756571410225387,0.14605809128630706,0.0,0.07875,1205
global6,congested,80,fcfs/strongest,80,B,True,1920.8244253102512,25.24258004423261,0.8875,0.7625,68935.0,8.792205976756309,0.32067063656489864,0.13870967741935483,0.013709677419354839,0.08118055555555556,1240
global6,congested,80,fcfs/strongest,85,A,False,1921.03752132502,25.25647443995933,0.8875,0.7625,68935.0,9.193113239627767,0.06756571410225387,0.14605809128630706,0.0,0.07875,1205
global6,congested,80,fcfs/strongest,85,B,True,1920.8244253102512,25.24258004423261,0.8875,0.7625,68935.0,8.792205976756309,0.32067063656489864,0.13870967741935483,0.013709677419354839,0.08118055555555556,1240
global6,congested,80,fcfs/strongest,90,A,False,1921.03752132502,25.25647443995933,0.8875,0.7625,68935.0,9.193113239627767,0.06756571410225387,0.14605809128630706,0.0,0.07875,1205
global6,congested,80,fcfs/strongest,90,B,True,1920.8244253102512,25.24258004423261,0.8875,0.7625,68935.0,8.792205976756309,0.32067063656489864,0.13870967741935483,0.013709677419354839,0.08118055555555556,1240
